X,Y,Z
0.00,0.34,-0.68
0.03,0.34,-0.66
0.02,0.34,-0.66
0.00,0.34,-0.68
0.02,0.34,-0.66
0.02,0.34,-0.66
0.00,0.32,-0.68
0.02,0.34,-0.66
0.02,0.34,-0.66
0.00,0.34,-0.66
0.02,0.34,-0.65
0.00,0.34,-0.66
0.02,0.34,-0.66
0.02,0.34,-0.68
0.00,0.34,-0.66
0.02,0.34,-0.66
0.02,0.34,-0.66
0.00,0.34,-0.66
0.02,0.34,-0.66
0.02,0.34,-0.65
0.00,0.34,-0.66
0.02,0.35,-0.66
0.00,0.34,-0.68
0.02,0.34,-0.66
0.02,0.34,-0.66
0.02,0.34,-0.66
0.02,0.34,-0.66
0.02,0.34,-0.66
0.00,0.34,-0.65
0.02,0.34,-0.66
0.02,0.34,-0.68
0.02,0.34,-0.66
0.02,0.34,-0.66
0.02,0.34,-0.66
0.02,0.34,-0.68
0.02,0.34,-0.66
0.02,0.34,-0.66
0.02,0.34,-0.66
0.02,0.34,-0.66
0.02,0.32,-0.66
0.02,0.34,-0.66
0.02,0.34,-0.66
0.00,0.32,-0.68
0.02,0.34,-0.66
0.02,0.34,-0.65
0.02,0.34,-0.66
0.02,0.34,-0.68
0.00,0.34,-0.66
0.02,0.34,-0.66
0.02,0.34,-0.66
0.00,0.34,-0.66
0.02,0.34,-0.66
0.02,0.34,-0.66
0.00,0.34,-0.66
0.02,0.34,-0.66
0.02,0.34,-0.68
0.00,0.32,-0.65
0.02,0.34,-0.66
0.02,0.34,-0.66
0.02,0.34,-0.66
0.02,0.34,-0.66
0.02,0.34,-0.66
0.02,0.34,-0.66
0.02,0.34,-0.68
0.02,0.34,-0.66
0.00,0.34,-0.66
0.02,0.34,-0.68
0.00,0.32,-0.66
0.02,0.34,-0.66
0.00,0.32,-0.66
0.02,0.32,-0.66
0.02,0.34,-0.66
0.02,0.34,-0.68
0.00,0.34,-0.66
0.02,0.34,-0.66
0.02,0.32,-0.66
0.02,0.34,-0.66
0.02,0.34,-0.68
0.02,0.32,-0.66
0.02,0.34,-0.65
0.02,0.34,-0.68
0.00,0.32,-0.66
0.02,0.34,-0.66
0.02,0.34,-0.68
0.02,0.34,-0.66
0.02,0.34,-0.68
0.02,0.34,-0.68
0.02,0.32,-0.66
0.02,0.34,-0.68
0.02,0.34,-0.68
0.02,0.34,-0.66
0.02,0.34,-0.66
0.02,0.34,-0.66
0.00,0.34,-0.66
0.00,0.34,-0.68
0.02,0.32,-0.66
0.02,0.34,-0.66
0.02,0.34,-0.68
0.02,0.34,-0.66
0.02,0.34,-0.65
0.00,0.35,-0.66
0.02,0.34,-0.66
0.02,0.34,-0.68
0.02,0.34,-0.66
0.02,0.34,-0.66
0.00,0.34,-0.68
0.02,0.34,-0.65
0.02,0.34,-0.66
0.00,0.32,-0.68
0.02,0.34,-0.66
0.02,0.34,-0.66
0.02,0.34,-0.68
0.02,0.32,-0.66
0.02,0.34,-0.66
0.02,0.34,-0.66
0.02,0.34,-0.66
0.00,0.34,-0.68
0.00,0.34,-0.66
0.02,0.34,-0.66
0.00,0.34,-0.68
0.02,0.34,-0.66
0.02,0.34,-0.66
0.02,0.34,-0.68
0.02,0.34,-0.66
0.02,0.34,-0.66
0.00,0.34,-0.66
0.02,0.34,-0.65
0.02,0.34,-0.68
0.00,0.34,-0.66
0.02,0.34,-0.66
0.00,0.34,-0.66
0.02,0.34,-0.66
0.02,0.34,-0.66
0.02,0.34,-0.68
0.02,0.34,-0.66
0.02,0.34,-0.66
0.00,0.34,-0.68
0.02,0.34,-0.66
0.02,0.34,-0.66
0.00,0.34,-0.68
0.02,0.34,-0.66
0.00,0.32,-0.66
0.00,0.34,-0.66
0.02,0.34,-0.65
0.00,0.34,-0.68
0.02,0.34,-0.66
0.02,0.34,-0.66
0.00,0.34,-0.68
0.02,0.34,-0.66
0.02,0.34,-0.66
0.00,0.32,-0.66
0.02,0.34,-0.66
0.02,0.34,-0.66
0.00,0.32,-0.66
0.02,0.34,-0.66
0.02,0.34,-0.66
0.00,0.34,-0.66
0.03,0.34,-0.66
0.00,0.34,-0.66
0.02,0.34,-0.66
0.02,0.34,-0.66
0.02,0.34,-0.68
0.02,0.32,-0.66
0.02,0.34,-0.66
0.02,0.34,-0.68
0.02,0.34,-0.66
0.02,0.34,-0.68
0.00,0.34,-0.66
0.02,0.34,-0.66
0.02,0.34,-0.68
0.02,0.34,-0.65
0.02,0.34,-0.66
0.02,0.34,-0.66
0.02,0.34,-0.66
0.02,0.34,-0.66
0.00,0.32,-0.66
0.02,0.34,-0.66
0.02,0.34,-0.66
0.02,0.34,-0.66
0.02,0.34,-0.66
0.00,0.34,-0.66
0.00,0.34,-0.66
0.02,0.34,-0.66
0.02,0.34,-0.66
0.00,0.32,-0.66
0.02,0.34,-0.68
0.00,0.32,-0.66
0.00,0.25,-0.68
0.02,0.18,-0.74
0.03,0.75,-0.57
0.02,0.32,-0.71
0.05,-0.02,-0.78
-0.02,0.17,-0.63
0.02,0.38,-0.66
0.00,1.00,-0.60
0.02,0.05,-0.74
0.08,0.26,-0.72
-0.05,0.32,-0.58
0.06,0.22,-0.77
0.00,0.68,-0.54
0.00,-0.09,-0.77
0.05,0.69,-0.63
-0.05,0.03,-0.72
0.09,0.34,-0.71
-0.05,0.46,-0.55
0.00,0.37,-0.72
0.02,0.34,-0.66
