X,Y,Z
-0.03,0.42,-0.63
-0.05,0.42,-0.63
-0.05,0.42,-0.63
-0.03,0.42,-0.63
-0.05,0.43,-0.65
-0.05,0.42,-0.63
-0.03,0.43,-0.63
-0.05,0.43,-0.63
-0.05,0.42,-0.63
-0.03,0.43,-0.63
-0.05,0.42,-0.65
-0.05,0.42,-0.63
-0.03,0.42,-0.63
-0.05,0.42,-0.63
-0.03,0.42,-0.63
-0.05,0.42,-0.63
-0.05,0.43,-0.65
-0.03,0.43,-0.63
-0.05,0.43,-0.65
-0.05,0.43,-0.63
-0.03,0.42,-0.63
-0.05,0.42,-0.65
-0.03,0.42,-0.63
-0.03,0.42,-0.63
-0.03,0.42,-0.65
-0.03,0.43,-0.63
-0.05,0.43,-0.65
-0.05,0.42,-0.63
-0.03,0.42,-0.63
-0.05,0.42,-0.65
-0.05,0.42,-0.63
-0.03,0.42,-0.63
-0.05,0.43,-0.65
-0.05,0.42,-0.63
-0.03,0.42,-0.63
-0.05,0.43,-0.65
-0.05,0.42,-0.63
-0.05,0.42,-0.63
-0.05,0.42,-0.63
-0.03,0.42,-0.63
-0.05,0.42,-0.65
-0.05,0.42,-0.63
-0.03,0.42,-0.63
-0.05,0.42,-0.63
-0.05,0.42,-0.63
-0.03,0.42,-0.65
-0.05,0.43,-0.63
-0.03,0.43,-0.62
-0.05,0.42,-0.65
-0.05,0.43,-0.63
-0.05,0.43,-0.63
-0.05,0.42,-0.65
-0.05,0.42,-0.63
-0.03,0.43,-0.63
-0.05,0.42,-0.63
-0.03,0.43,-0.63
-0.03,0.43,-0.63
-0.05,0.43,-0.63
-0.05,0.42,-0.63
-0.03,0.42,-0.65
-0.05,0.42,-0.63
-0.05,0.42,-0.63
-0.05,0.43,-0.63
-0.05,0.42,-0.63
-0.03,0.43,-0.63
-0.05,0.43,-0.63
-0.03,0.42,-0.63
-0.03,0.43,-0.65
-0.05,0.42,-0.63
-0.03,0.42,-0.63
-0.05,0.42,-0.65
-0.05,0.42,-0.62
-0.03,0.42,-0.63
-0.05,0.42,-0.63
-0.05,0.42,-0.62
-0.03,0.42,-0.65
-0.05,0.42,-0.65
-0.03,0.42,-0.63
-0.03,0.43,-0.65
-0.05,0.42,-0.63
-0.03,0.43,-0.63
-0.05,0.42,-0.65
-0.03,0.42,-0.63
-0.03,0.42,-0.63
-0.05,0.43,-0.65
-0.05,0.43,-0.63
-0.05,0.43,-0.63
-0.05,0.42,-0.65
-0.05,0.42,-0.63
-0.03,0.42,-0.65
-0.05,0.43,-0.65
-0.05,0.42,-0.62
-0.05,0.43,-0.63
-0.05,0.43,-0.63
-0.03,0.43,-0.63
-0.03,0.43,-0.65
-0.05,0.43,-0.63
-0.03,0.42,-0.63
-0.05,0.43,-0.65
-0.05,0.42,-0.63
-0.03,0.42,-0.63
-0.05,0.43,-0.65
-0.05,0.42,-0.63
-0.05,0.43,-0.63
-0.05,0.42,-0.65
-0.05,0.42,-0.63
-0.05,0.43,-0.65
-0.03,0.42,-0.63
-0.05,0.42,-0.63
-0.05,0.43,-0.65
-0.05,0.43,-0.63
-0.03,0.42,-0.63
-0.05,0.43,-0.65
-0.05,0.42,-0.63
-0.03,0.43,-0.63
-0.05,0.43,-0.63
-0.05,0.42,-0.63
-0.05,0.43,-0.63
-0.03,0.42,-0.65
-0.05,0.42,-0.63
-0.03,0.43,-0.65
-0.05,0.43,-0.63
-0.03,0.42,-0.63
-0.05,0.43,-0.65
-0.03,0.42,-0.62
-0.05,0.42,-0.63
-0.05,0.42,-0.65
-0.05,0.42,-0.63
-0.03,0.42,-0.63
-0.05,0.43,-0.65
-0.05,0.42,-0.63
-0.05,0.42,-0.65
-0.03,0.43,-0.65
-0.05,0.42,-0.63
-0.03,0.43,-0.65
-0.05,0.42,-0.63
-0.03,0.42,-0.63
-0.05,0.43,-0.65
-0.05,0.42,-0.63
-0.05,0.42,-0.63
-0.05,0.43,-0.65
-0.03,0.42,-0.63
-0.03,0.42,-0.63
-0.05,0.43,-0.65
-0.05,0.42,-0.63
-0.05,0.42,-0.65
-0.05,0.42,-0.63
-0.05,0.42,-0.63
-0.05,0.43,-0.65
-0.05,0.42,-0.65
-0.05,0.42,-0.63
-0.05,0.43,-0.63
-0.05,0.42,-0.63
-0.03,0.42,-0.63
-0.05,0.42,-0.63
-0.03,0.42,-0.63
-0.05,0.42,-0.63
-0.05,0.43,-0.65
-0.05,0.42,-0.63
-0.03,0.42,-0.63
-0.05,0.43,-0.65
-0.05,0.43,-0.63
-0.03,0.43,-0.63
-0.05,0.42,-0.65
-0.03,0.42,-0.63
-0.03,0.43,-0.65
-0.03,0.42,-0.63
-0.03,0.42,-0.63
-0.05,0.42,-0.65
-0.03,0.42,-0.63
-0.05,0.43,-0.63
-0.05,0.43,-0.65
-0.05,0.42,-0.62
-0.03,0.42,-0.63
-0.05,0.43,-0.65
-0.03,0.42,-0.63
-0.03,0.42,-0.65
-0.05,0.43,-0.65
-0.03,0.42,-0.63
-0.05,0.43,-0.65
-0.05,0.43,-0.65
-0.03,0.42,-0.62
-0.05,0.43,-0.65
-0.05,0.42,-0.63
-0.05,0.42,-0.62
-0.03,0.43,-0.65
-0.05,0.43,-0.63
-0.03,0.42,-0.63
-0.05,0.42,-0.65
-0.05,0.42,-0.63
-0.03,0.42,-0.63
